001 Ur-Nammu 1          	ur-{d}nammu lugal
089 Ibbi-Sin 4          	en-am-gal-an-na en-{d}inanna ba-hun
090 Ibbi-Sin 5          	tu-ki-in-hatytyi-mi-ig-ri2-sza dumu-munus lugal ensi2 za-ab-sza-li{ki}-ke4 ba-an-tuk
091 Ibbi-Sin 6*         	us2-sa dumu-munus lugal ensi2 za-ab-sza-li{ki} ba-an-tuk
091 Ibbi-Sin 6          	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 nibru{ki} ur2i{ki}-ma-ke4 bad3 gal-bi mu-du3
092 Ibbi-Sin 7          	us2-sa bad3 gal nibru{ki} ba-du3
093 Ibbi-Sin 8          	us2-sa bad3 gal ba-du3 us2-sa-bi
094 Ibbi-Sin 9          	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 hu-uh2-nu-ri{ki} sag-kul ma-da an-sza-an{ki}-sze3 ... dugud ba-szi-in-gin ...-gim bi ...
095 Ibbi-Sin 10         	en-nir-si3-an-na en-{d}inanna masz2-e in-pad3
096 Ibbi-Sin 11a        	en-nam-szita4 {d}i-bi2-{d}en.zu-sze3 szud3-sag en-{d}en-ki eridu{ki}-ga masz-e in-pad3
096 Ibbi-Sin 11b        	en-nam-szita4 en eridu{ki} ba-hun
097 Ibbi-Sin 12         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 gu-za an {d}nanna-ra mu-na-dim2
098 Ibbi-Sin 13         	us2-sa {d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 gu-za an {d}nanna-ra mu-na-dim2
099 Ibbi-Sin 14         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 szuszan{ki} a-dam-dun{ki} a-wa-an{ki} u4-gim ka bi-in-gi4 u4 1-a mu-un-gur2 en-bi lu2-a mi-ni-in-dab5-ba-a
100 Ibbi-Sin 15         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ra {d}nanna-a sza3 ki-ag2-ga2-ni dalla mu-un-na-an-e3-a
101 Ibbi-Sin 16         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 {d}nanna-ar {d}nun-me-te-an-na mu-na-dim2
102 Ibbi-Sin 17         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ra mar-tu a2 im.u19- ul-ta uru{ki} nu zu gu2 im-ma-an-ga2-ar
103 Ibbi-Sin 18         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 {d}nin-lil2 u3 {d}inanna e2-szutum2 e2-gi-na-ab-tum ku3 mu-ne-du3
104 Ibbi-Sin 19         	us2-sa {d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 {d}nin-lil2 u3 {d}inanna e2-szutum2 e2-gi-na-ab-tum ku3 mu-ne-du3
105 Ibbi-Sin 20         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 {d}en-lil2-le2 me-lam2-ma-ni kur-kur-ra bi2-in-dul4
106 Ibbi-Sin 21         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 {d}nin-igi-zi-bar-ra balag {d}inanna-ra mu-na-dim2
107 Ibbi-Sin 22         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 a-ma-ru ni3-du11-ga dingir-re-ne-ke4 zag an-ki im-suh3-suh3-a ur2i{ki} uruXud{ki} tab-ba bi2-in-gi-en
108 Ibbi-Sin 23         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ra ugu-dul5-bi dugud kur-be2 mu-na-e-ra
109 Ibbi-Sin 24         	{d}i-bi2-{d}en.zu lugal ur2i{ki}-ma-ke4 ... bi2-ra
??? unknown a           	{d}en-ki ga-sza e2-a-na ba-an-ku4
??? unknown b           	e2-{d}ne3-unug ba-du3
