Ur-Nammu 1          	ur-{d}nammu lugal
Szulgi 26*          	us2-sa si-mu-ru-um{ki} ba-hul
Szulgi 26           	si-mu-ru-um{ki} a-ra2 2-kam-ma-asz ba-hul
Szulgi 27*          	szul-gi nita kalag-ga lugal an ub-da limmu2-ba-ke4 si-mu-ur4-um{ki} a-ra2 2-kam-asz mu-hul-a mu us2-sa-bi
Szulgi 27           	ha-ar-szi{ki} ba-hul
Szulgi 28a          	en nam-szita4 {d}szul-gi-ra-ke4 ba-gub-ba-sze3 szud3-sag en-{d}en-ki eridu{ki}-ga dumu szul-gi nita kalag-ga lugal ur2i{ki}-ma lugal an ub-da 4-ba-ke4 ba-a-hun
Szulgi 28b          	en-nam-szita4 {d}szul-gi-ra-ke4 ba-gub en-{d}en-ki eridu{ki}-ga dumu {d}szul-gi nita kalag-ga lugal ur2i{ki}-ma lugal an ub-da limmu2-ba-ka ba-a-hun
Szulgi 29           	us2-sa en nam-szita4 {d}szul-gi-ra-ke4 ba-gub-ba-sze3 szud3-sag en-{d}en-ki eridu{ki}-ga dumu szul-gi nita kalag-ga lugal ur2i{ki}-ma lugal an ub-da 4-ba-ke4 ba-a-hun
Szulgi 30a          	dumu-munus lugal ensi2 an-sza-an{ki}-ke4 ba-an-tuk
Szulgi 30b          	dumu-munus lugal ensi2 an-sza-an{ki}-ke4 ba-an-du
Szulgi 31*          	us2-sa dumu-munus lugal ensi2 an-sza-an{ki}-ke4 ba-an-tuk
Szulgi 31           	kara2-har{ki} a-ra2 2-kam-asz ba-hul
Szulgi 32           	si-mu-ru-um{ki} a-ra2 3-kam-asz ba-hul
Szulgi 33*          	us2-sa si-mu-ru-um{ki} a-ra2 3-kam-asz ba-hul
Szulgi 33           	kara2-har{ki} a-ra2 3-kam-asz ba-hul
Szulgi 34*          	us2-sa kara2-har{ki} a-ra2 3-kam-asz ba-hul
Szulgi 34**         	us2-sa a-ra2 3-kam-asz si-mu-ru-um{ki} ba-hul mu us2-sa-bi
Szulgi 34           	an-sza-an{ki} ba-hul
Szulgi 35           	us2-sa an-sza-an{ki} ba-hul
Szulgi 36*          	us2-sa an-sza-an{ki} ba-hul mu us2-sa-bi
Szulgi 36           	{d}nanna ga-esz{ki} e2-ba-a ba-ku4
Szulgi 36 (Drehem)  	{d}nanna kar-zi-da{ki} a-ra2 2-kam-asz e2-a-na ba-an-ku4
Szulgi 36 (Lagash)  	{d}nanna kar-zi-da{ki} e2-a-na ba-an-ku4
Szulgi 36 (Nippur)  	{d}nanna kar-zi-da{ki} a-ra2 2-kam-ma-sze3 e2-a-na ba-an-ku4
Szulgi 36 (Umma)    	{d}nanna kar-zi-da{ki} a-ra2 2-kam e2-a-na ba-an-ku4
Szulgi 36 (Ur)      	{d}nanna kar-zi-da{ki} e2-nun-na-sze3 agrun-na-sze3
Szulgi 37*          	us2-sa {d}nanna kar-zi-da{ki} a-ra2 2-kam e2-a-na ba-an-ku4
Szulgi 37a          	{d}nanna u3 {d}szul-gi lugal-e bad3 ma-da mu-du3
Szulgi 37b          	bad3 ma-da ba-du3
Szulgi 38           	us2-sa bad3 ma-da ba-du3
Szulgi 39*          	us2-sa bad3 ma-da ba-du3 mu us2-sa-bi
Szulgi 39           	{d}szul-gi lugal ur2i{ki}-ma-ke4 lugal an ub-da 4-ba-ke4 e2-puzur4-isz-{d}da-gan{ki} e2-{d}szul-gi-ra mu-du3
Szulgi 40           	us2-sa e2-puzur4-isz-{d}da-gan{ki} ba-du3-a
Szulgi 41           	us2-sa e2-puzur4-isz-{d}da-gan{ki} ba-du3-a mu us2-sa-a-bi
Szulgi 42*          	us2-sa e2-puzur4-isz-{d}da-gan{ki} ba-du3-a mu us2-sa-a-ba mu us2-sa-a-bi
Szulgi 42           	lugal-e sza-asz-ru-um{ki} mu-hul
Szulgi 43*          	us2-sa sza-asz-ru-um{ki} ba-hul
Szulgi 43           	en-ubur-zi-an-na en-{d}nanna masz-e / masz2-e i3-pad3
Szulgi 44*          	us2-sa en-{d}nanna masz-e / masz2-e i3-pad3
Szulgi 44           	si-mu-ru-um{ki} u3 lu-lu-bu-um{ki} a-ra2 10-la2-1-kam-asz ba-hul
Szulgi 44           	si-mu-ru-um{ki} u3 lu-lu-bum2{ki} a-ra2 10-la2-1-kam-asz ba-hul
Szulgi 45*          	us2-sa si-mu-ru-um{ki} u3 lu-lu-bu-um{ki} a-ra2 9-kam-asz ba-hul
Szulgi 45a          	{d}szul-gi nita kalag-ga lugal ur2i{ki}-ma lugal an ub-da limmu2-ba-ke4 ur-bi2-lum{ki} ar-bi2-lum{ki} si-mu-ru-um{ki} lu-lu-bu{ki} u3 kara2-har{ki} 1-sze3 asz-sze3 sag-du-bi szu-bur2-a bi2-ra-a im-mi-ra
Szulgi 45b          	si-mu-ru-um{ki} lu-lu-bu{ki} a-ra2 9-kam ba-hul
Szulgi 46*          	us2-sa ur-bi2-lum{ki} ba-hul
Szulgi 46           	{d}szul-gi nita kalag-ga lugal ur2i{ki}-ma lugal an ub-da limmu2-ba-ke4 ki-masz{ki} hu-ur5-ti{ki} u3 ma-da-bi u4 1-a mu-hul
Szulgi 47a          	us2-sa ki-masz{ki} ba-hul
Szulgi 47b          	{d}szul-gi nita kalag-ga lugal ur2i{ki}-ma lugal an ub-da limmu2-ba-ke4 4-ba-ke4 ki-masz{ki} hu-ur5-ti{ki} u3 ma-da-bi u4 1-a mu-hul-a mu us2-sa-bi
Szulgi 48*          	us2-sa ki-masz{ki} ba-hul mu us2-sa-a-bi
Szulgi 48a          	ha-ar-szi{ki} ki-masz{ki} hu-ur5-ti{ki} u3 ma-da-bi u4 1-bi u4 1-a ba-hul
Szulgi 48b          	ki-masz{ki} a-ra2 2-kam ba-hul
Szulgi 48c          	2-kam ha-ar-szi{ki} ba-hul
Amar-Sin 1*         	us2-sa ha-ar-szi{ki} u3 ki-masz{ki} ba-hul
Amar-Sin 1          	{d}amar-{d}en.zu lugal-am3
Amar-Sin 2*         	us2-sa {d}amar-{d}en.zu lugal
Amar-Sin 2          	{d}amar-{d}en.zu lugal-e ur-bi2-lum{ki} mu-hul
